2013 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [17496 19/11/2013 10:14:27      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","117","Eden-Monaro","669","Batehaven","0","","","First Preferences","","0","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","485","46.810"
"NSW","117","Eden-Monaro","669","Batehaven","23171","SPP","Australian Stable Population Party","TYE","Martin","2","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","6","66.670"
"NSW","117","Eden-Monaro","669","Batehaven","23171","SPP","Australian Stable Population Party","TYE","Martin","2","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","3","33.330"
"NSW","117","Eden-Monaro","669","Batehaven","24255","PUP","Palmer United Party","LYNCH","Dean","4","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","22","38.600"
"NSW","117","Eden-Monaro","669","Batehaven","24255","PUP","Palmer United Party","LYNCH","Dean","4","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","35","61.400"
"NSW","117","Eden-Monaro","669","Batehaven","23239","GRN","Australian Greens","MOORE","Catherine","5","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","8","12.310"
"NSW","117","Eden-Monaro","669","Batehaven","23239","GRN","Australian Greens","MOORE","Catherine","5","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","57","87.690"
"NSW","117","Eden-Monaro","669","Batehaven","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","1","50.000"
"NSW","117","Eden-Monaro","669","Batehaven","23410","CEC","Citizens Electoral Council of Australia","GOUMAS","Costas","6","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","1","50.000"
"NSW","117","Eden-Monaro","669","Batehaven","24751","IND","Independent","THALER","Andrew","7","24547","ALP","Australian Labor Party (N.S.W. Branch)","KELLY","Mike","3","7","43.750"
"NSW","117","Eden-Monaro","669","Batehaven","24751","IND","Independent","THALER","Andrew","7","23189","LP","Liberal Party of Australia, NSW Division","HENDY","Peter","1","9","56.250"
